rho,iter,conv,bound,wmax,xerr,xbar
0.1,18,966.6687015146001,-111720.69745522038,72.50000003810388,51.68922368299482,98.3558903411 283.333333342 118.310776317
0.1,19,966.710799389152,-111623.82627159372,75.83333337086535,51.771706194801396,98.4383728542 283.333333341 118.228293805
0.1,20,966.6822947151375,-111526.20724652629,79.1666667034554,51.72917392296762,98.3958405831 283.33333334 118.270826077
0.1,21,966.6668433003834,-111429.30277384036,82.5000000358631,51.67332487857291,98.3399915395 283.333333339 118.326675121
0.1,22,966.6677409613693,-111332.67871980168,85.83333336745532,51.650269714867534,98.3169363736 283.333333341 118.349730285
0.1,23,966.6673571107206,-111235.90711274132,89.16666669884374,51.653515857912964,98.3201825185 283.333333339 118.346484142
0.1,24,966.6667085906925,-111139.18137925093,92.50000002986931,51.66336501567811,98.3300316797 283.333333336 118.336634984
0.1,25,966.6666833891775,-111042.54464747026,95.83333336038396,51.668849011509124,98.335515685 283.333333326 118.331150988
0.1,26,662.0275761403282,-111042.54464747026,98.22915731433483,42.294128299774286,98.3358887367 273.958239563 127.7058717
0.1,27,668.3932989323613,-111042.54464747026,100.35419990113216,36.45970406023446,95.2092781922 271.250425868 133.54029594
0.1,28,673.1217226974777,-110927.36303344076,102.50699810155064,35.31263988937519,93.784657885 271.527982004 134.687360111
0.1,29,652.9102920977132,-110785.06483640442,104.77318332777283,37.082787767736875,94.4209355053 272.661852262 132.917212232
0.1,30,640.5312829710622,-110718.39314917696,107.150660956322,39.42646769723075,95.6516914116 273.774776286 130.573532303
0.1,31,641.1750340560043,-110657.82892241477,109.59495839472987,40.88507348946058,96.4420991053 274.442974384 129.114926511
0.1,32,642.0608337130556,-110589.27422152355,112.0525392508558,41.171839521184324,96.5960309598 274.575808561 128.828160479
0.1,33,640.7979421916941,-110519.1600429746,114.48866007741638,40.7293029394076,96.3680946737 274.361208266 129.270697061
0.1,34,640.0308404126097,-110460.54099549953,116.895883002489,40.14338331993031,96.0711540691 274.072229251 129.85661668
0.1,35,640.0734443369386,-110398.80564068569,119.28489490716068,39.778731850763876,95.8886128039 273.890119047 130.221268149
0.1,36,640.1287376835974,-110331.3717882737,121.67026306453629,39.70704016753024,95.8533585937 273.853681574 130.292959832
0.1,37,640.049863299791,-110262.79318316287,124.0611396103985,39.81767420686134,95.9089087481 273.908765459 130.182325793
0.1,38,640.0019266112763,-110198.23679992449,126.45934223963198,39.964154083860365,95.9821277914 273.982026292 130.035845916
0.1,39,640.0045891130932,-110134.42100808208,128.8621075943015,40.055316942467584,96.0276633956 274.027653547 129.944683058
0.1,40,640.0080452442623,-110070.13608643922,131.26577027480843,40.073239864790224,96.0366130596 274.036626805 129.926760135
0.1,41,640.0031155652489,-110005.75895411542,133.66804965987873,40.04558135793587,96.0227875071 274.022793851 129.954418642
0.1,42,640.0001194751701,-109942.09953667127,136.06849772682045,40.008961388429725,96.0044807189 274.00448067 129.991038612
0.1,43,640.0002858292235,-109878.23977993823,138.46780621324186,39.986170669204995,95.9930858049 273.993084864 130.013829331
0.1,44,640.000501778469,-109814.02333120837,140.8668907015125,39.981689931104285,95.9908450483 273.990844883 130.018310069
0.1,45,640.0001936091048,-109749.73677375341,143.2663209414153,39.988604549103286,95.99430215 273.994302399 130.011395451
0.1,46,640.0000062831273,-109685.7022796929,145.66620893140816,39.997759532892985,95.9988796328 273.9988799 130.002240467
0.1,47,640.0000166034836,-109621.71381794337,148.06638180232866,40.003457204438575,96.0017284951 274.001728709 129.996542796
0.1,48,640.0000300164081,-109557.69601290041,150.46661068157758,40.004577380584806,96.002288588 274.002288793 129.995422619
0.1,49,640.000010496842,-109493.67243882814,152.86675312922318,40.002848710005225,96.0014242334 274.001424477 129.99715129
0.1,50,639.9999985773111,-109429.69370742195,155.2667811405489,40.00055994229962,96.0002798289 274.000280113 129.999440058
0.1,51,639.9999984208296,-109365.70247309629,157.66673793395913,39.99913547609299,95.9995675418 273.999567934 130.000864524
0.1,52,639.9999988334633,-109301.6889467159,160.06668072647346,39.99885537552029,95.9994274502 273.999427925 130.001144624
0.1,53,639.9999986036394,-109237.67103769252,162.46664512202145,39.99928754851135,95.9996435929 273.999643956 130.000712451
0.1,54,639.999997638967,-109173.66889623919,164.86663812713022,39.99985976198727,95.9999297107 273.999930051 130.000140238
0.1,55,639.9999972774447,-109109.66961749301,167.26664894077828,40.00021587176303,96.0001077351 274.000108137 129.999784128
0.1,56,639.999996818088,-109045.66850463231,169.66666325790428,40.000285853670704,96.0001426822 274.000143171 129.999714146
0.1,57,639.9999960638771,-108981.6670312149,172.06667217512006,40.000177751958006,96.0000885795 274.000089172 129.999822248
0.1,58,639.9999950957424,-108917.66834663645,174.46667394250372,40.00003462011071,96.0000169461 274.000017674 129.99996538
0.1,59,639.9999937658667,-108853.66889494385,176.86667126273747,39.99994548345103,95.9999722809 273.999973203 130.000054517
0.1,60,639.9999916438919,-108789.66804994925,179.26666771533198,39.99992782363165,95.9999632975 273.999964526 130.000072176
0.1,61,639.9999884491945,-108725.66693123212,181.66666553007698,39.99995459860824,95.9999764509 273.999978148 130.000045401
0.1,62,639.9999834918949,-108661.66681018982,184.06666515086005,39.99998999622591,95.9999937881 273.999996208 130.000010004
0.1,63,639.9999758289293,-108597.66685523995,186.46666591213025,40.000011686151936,96.0000040732 274.000007613 129.999988314
0.1,64,639.9999637915278,-108533.66678556646,188.86666693573224,40.00001517565363,96.0000049394 274.000010236 129.999984824
0.1,65,639.9999436658958,-108469.66669316933,191.2666676953335,40.00000698142213,95.9999993851 274.000007596 129.999993019
0.1,66,325.00003884939804,-108469.66669316933,192.91666803768854,32.500002185788105,95.9999987619 266.500003424 137.499997814
0.1,67,156.99988909749538,-108469.66669316933,193.7166680968512,21.4999953786145,93.4999947859 258.000000593 148.500004621
0.1,68,100.24999490269617,-108469.66669316933,193.71666768705222,10.249996651674138,90.2499966517 249.999995906 159.750007442
0.1,69,132.32917438318094,-108469.66669316933,193.08333939744153,7.666555104423253,87.6665551044 243.666717113 168.666727783
0.1,70,54.04899526108736,-108469.66669316933,192.31250335865613,7.7083603878162705,81.4999878464 242.291639612 176.208372541
0.1,71,41.82657844581483,-108469.66669316933,191.6291643293287,11.458320029340996,75.3750702505 243.16660972 181.458320029
0.1,72,58.65314964349787,-108469.66669316933,191.0527721932787,13.68053573189107,72.0833856283 244.23607864 183.680535732
0.1,73,56.05208994206004,-108426.93745706405,190.55300371382995,13.067084255984241,71.9306005356 245.002315208 183.067084256
0.1,74,38.5564258441713,-108398.11746620314,190.13387075578146,10.80626879860273,73.3850607798 245.808670422 180.806268799
0.1,75,15.607602560606296,-108398.11746620314,189.82219781680652,7.121221992288781,75.9955073964 246.883270611 177.121221992
0.1,76,2.5123594043911623,-108398.11746620314,189.6628217741663,2.8634820486688852,78.7302783777 248.406239574 172.863482049
0.1,77,0.6998388883051117,-108398.11746620314,189.6825199123864,1.1618806177852434,80.9648992356 250.196981382 168.838119382
0.1,78,5.78928374062769,-108398.11746620314,189.86836028993517,4.322703231757828,82.4642994491 251.858403783 165.677296768
0.1,79,11.691941191753394,-108398.11746620314,190.16907717340223,6.2362687824177385,83.2290999414 253.007168841 163.763731218
0.1,80,13.840738522303061,-108398.11746620314,190.51270446057137,6.791528207169023,83.3552553293 253.436272878 163.208471793
0.1,81,11.263284859436613,-108396.83229851437,190.82841966884476,6.122324383197906,82.9651722939 253.157152089 163.877675617
0.1,82,6.206587297563165,-108396.83229851437,191.06320644305504,4.544269792382636,82.1964020427 252.34786775 165.455730208
0.1,83,1.83455205083166,-108396.83229851437,191.18957243104202,2.471850621474374,81.2081907326 251.263659889 167.528149379
0.1,84,0.03344280728183269,-108396.83229851437,191.2052021683393,0.3328542386667266,80.1765568657 250.156297373 169.667145761
0.1,85,0.6807660043302675,-108396.83229851437,191.12754652541764,1.5051182270249512,79.2714382022 249.223443571 171.505118227
0.1,86,2.32910328827343,-108396.83229851437,190.98635783120022,2.785908833951339,78.6259781082 248.588113058 172.785908834
0.1,87,3.445522006877087,-108396.83229851437,190.816218633475,3.388916174681242,78.3124758025 248.298608023 173.388916175
0.1,88,3.3198989424339143,-108396.83229851437,190.65014172428425,3.3266029314359855,78.3341661604 248.339230908 173.326602931
0.1,89,2.219986017454473,-108390.73486473034,190.51472958675018,2.7202414325384154,78.6338799427 248.645878625 172.720241433
0.1,90,0.9309799413461171,-108390.73486473034,190.42712457467255,1.7615666665808476,79.1144834542 249.123949879 171.761566667
0.1,91,0.13430508557123294,-108390.73486473034,190.39384410525318,0.6690766652519073,79.663728029 249.667195306 170.669076665
0.1,92,0.03735052812946453,-108390.73486473034,190.41142304301925,0.35284428575232596,80.1770549081 250.175789378 169.647155714
0.1,93,0.3937500741360497,-108390.73486473034,190.46855498660287,1.1456374893574832,80.5743180535 250.571319436 168.854362511
0.1,94,0.7828179770936156,-108390.73486473034,190.54920465248367,1.6153587607250302,80.8088621019 250.806496659 168.384641239
0.1,95,0.905741737379479,-108390.73486473034,190.63603968411843,1.7375666515254125,80.8692163352 250.868350316 168.262433348
0.1,96,0.7205753933691892,-108390.73486473034,190.71354611946057,1.5498121839498538,80.7747478305 250.775064353 168.450187816
0.1,97,0.38650062566663834,-108390.73486473034,190.7703359896338,1.1350482278598122,80.5671495261 250.567898702 168.864951772
0.1,98,0.10808552546088629,-108390.73486473034,190.80037736791195,0.600237037934022,80.2998232552 250.300413783 169.399762962
0.1,99,0.0008918067632786059,-108390.73486473034,190.80311423236006,0.05452166126474367,80.0271530168 250.027368644 169.945478339
0.1,100,0.05026483159514851,-108390.73486473034,190.7826438401725,0.4093280216297046,79.7953759002 249.795296078 170.409328022
1.0,1,4440.666666666666,-115399.99999999999,66.66666666666669,58.333333333333314,57.3333333333 308.333333333 134.333333333
