rho,iter,conv,wmax,xerr,xbar
0.1,73,4.005817108234357,190.5664641871225,15.014182662348475,72.6601299424 242.325687395 185.014182662
0.1,74,3.236744244637873,190.00498238391742,12.15890535494043,73.4559126735 244.385181971 182.158905355
0.1,75,2.273283581303348,189.6721557434089,8.329625948925013,74.9986404561 246.671733595 178.329625949
0.1,76,1.1019431175110996,189.54506424356654,3.7502870110526487,77.5206279868 248.729085002 173.750287011
0.1,77,0.23617533431793764,189.59820369378653,0.6908730522834787,80.1594785498 250.531394502 169.309126948
0.1,78,1.1404499787295856,189.8004230475487,4.276691442591925,82.2544979047 252.022193538 165.723308557
0.1,79,1.747222214432442,190.10711482316447,6.552097113786743,83.4851792989 253.066917808 163.447902886
0.1,80,1.9616665573113212,190.45982207525617,7.356248949477049,83.8291763802 253.527072563 162.643751051
0.1,81,1.8134233953637324,190.79518996817836,6.80033775185521,83.4466587631 253.353678982 163.199662248
0.1,82,1.3876519222306725,191.0582777828042,5.203682370348417,82.5728042238 252.630878146 164.79631763
0.1,83,0.8015628388060949,191.21379857668515,3.005857797815082,81.4506498587 251.555207939 166.994142202
0.1,84,0.17956367587148414,191.25124257565324,0.6733621855449599,80.2989221955 250.37443999 169.326637814
0.1,85,0.36869593314275384,191.18327389809568,1.3826104312720418,79.2970763439 249.320313225 171.382610431
0.1,86,0.7641293844090866,191.0392734773464,2.8654850194908477,78.5745191875 248.559995793 172.865485019
0.1,87,0.96630206361723,190.85678472494988,3.6236322494403055,78.2012552739 248.175112477 173.623632249
0.1,88,0.9737287701811302,190.67326652440306,3.6514828659273633,78.183699139 248.164817995 173.651482866
0.1,89,0.8176297162909678,190.5196704828822,3.066111861911679,78.4698485528 248.464039585 173.066111862
0.1,90,0.5512758594396858,190.41648787682718,2.067284747432609,78.9645413127 248.96817394 172.067284747
0.1,91,0.23743520589841674,190.3722956897138,0.8903818982000757,79.5515399725 249.558078129 170.890381898
0.1,92,0.06367109729393405,190.38447018745643,0.23876704709073238,80.1170220693 250.121744978 169.761232953
0.1,93,0.30398110222589814,190.44153941205482,1.1399296246887332,80.5692373784 250.570692246 168.860070375
0.1,94,0.45357587512191977,190.5265396159373,1.7009099004029622,80.8509078613 250.850002039 168.2990901
0.1,95,0.5026422004012545,190.62070338596948,1.8849083852277886,80.9432706846 250.941637701 168.115091615
0.1,96,0.45975713476374047,190.7068488274327,1.7240891421909055,80.8626347272 250.861454415 168.275910858
0.1,97,0.347393440055266,190.77196686318692,1.3027251214728608,80.6515447636 250.651180358 168.697274879
0.1,98,0.1958581773814324,190.80870150712366,0.7344678330411227,80.3671213933 250.36734644 169.265532167
0.1,99,0.036935818062487,190.81564728818336,0.13850901816232408,80.0690512072 250.069457811 169.861490982
0.1,100,0.10165540251323711,190.7966015682034,0.38120798424665736,79.8092492152 249.8095428 170.381207984
1.0,1,32.839506172839506,66.66666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
1.0,2,18.921810023638916,91.46296210887604,40.16666627420486,87.0370374797 283.12962879 129.833333726
1.0,3,12.452674685378037,113.58024651906501,42.38888872876893,100.271604304 272.117284421 127.611111271
1.0,4,12.169181361523197,136.19958843734884,42.30555566076731,99.6862137256 272.619341933 127.694444339
1.0,5,11.802850119000947,160.4235253996229,41.11111131878488,96.8871743259 274.223936989 128.888888681
1.0,6,12.07389617299138,184.71439183888648,39.95833346874116,95.6674669066 274.29086656 130.041666531
1.0,7,9.7767693456351,204.48323247925478,35.31106164354611,95.5422185666 269.768843065 134.688938356
1.0,8,7.3234000294207675,216.45343569342322,26.316996813252246,94.3467934611 261.970203351 143.683003187
1.0,9,4.602579953847137,219.8392351149225,16.022913831716494,92.637112958 253.385800874 153.977086168
1.0,10,3.1713711152022293,214.86140641640304,13.085187292056148,93.0851872921 245.022171404 161.892641304
1.0,11,4.0222807126293025,205.81127481297042,11.621337727812218,91.6213377278 240.949868401 167.428793871
1.0,12,3.888129305746241,197.06298388360796,8.74829023746878,87.9704172292 241.251709763 170.777873
1.0,13,2.5026513176710554,191.43201842864255,5.63096492822217,82.9117547422 244.369035072 172.719210176
1.0,14,1.0356774020583623,189.39843948892562,3.883789569341502,78.1497893694 247.966421061 173.883789569
1.0,15,1.8433257295518597,189.3389480841822,4.206973983780983,75.8525174195 249.940508597 174.206973984
1.0,16,1.8126842351691483,189.5412197463521,3.9774036725679593,76.0225963274 250.202271664 173.775132009
1.0,17,1.0937249029686156,189.21602116364278,2.7860742623942656,77.5391243176 249.674801418 172.786074262
1.0,18,0.39933790593506857,188.49018341730044,1.4975131885530573,79.2283245555 249.274162254 171.497513189
1.0,19,0.36001424706980206,187.89211841691187,0.5980645147480175,80.4239398279 249.401935485 170.174124676
1.0,20,0.45472074377809374,187.84851662862846,1.0013207834486622,81.0013207834 249.956398617 169.042280591
1.0,21,0.5056049901167496,188.45220781700544,1.741302836543582,81.1376112431 250.603691585 168.258697163
1.0,22,0.5610857501416496,189.49851414921616,2.104071973050168,81.0577652004 251.046306764 167.895928027
1.0,23,0.5481868072506981,190.654114942132,2.0557010860480602,80.9000997883 251.155601289 167.944298914
1.0,24,0.4460732482795622,191.62111747128185,1.67277539975683,80.7057722859 250.967003104 168.3272246
1.0,25,0.2866331191298094,192.22529441828468,1.0748751010428919,80.4706974866 250.604177604 168.925124899
1.0,26,0.10599423393876212,192.4254657561984,0.3974794811927893,80.1973074031 250.200172067 169.602520519
1.0,27,0.06603086757445611,192.27689630407843,0.2332645554575663,79.9153048957 249.851430549 170.233264555
1.0,28,0.19200190965796715,191.88423936256402,0.7200071331214417,79.6726498074 249.607343059 170.720007133
1.0,29,0.2681666049418507,191.36474217964115,1.005624742641885,79.5138724393 249.480502818 171.005624743
1.0,30,0.2869427496531816,190.8263664005549,1.0760352850348056,79.4623404931 249.461624222 171.076035285
1.0,31,0.25476574662878054,190.35666490660932,0.9553715213740475,79.5143299717 249.530298507 170.955371521
1.0,32,0.18549062237549346,190.01703334588044,0.6955898019761548,79.6440417579 249.66036844 170.695589802
1.0,33,0.09684625192448316,189.8396178582301,0.36317340939561404,79.8142420774 249.822584513 170.363173409
1.0,34,0.006835039553026136,189.82689159184352,0.02562929402748182,79.9870963653 249.98727433 170.025629294
1.0,35,0.069314260359936,189.95485909117969,0.25992889280087184,80.1319608034 250.127968079 169.740071107
1.0,36,0.12121920957317735,190.18010413826934,0.45457253371881734,80.2293268999 250.225245624 169.545427466
1.0,37,0.14427011970722958,190.44956802784472,0.5410135270557532,80.2715490425 250.269464474 169.458986473
1.0,38,0.13943419477664065,190.71098503785097,0.5228788852424486,80.2614612636 250.261417611 169.477121115
1.0,39,0.112165241054244,190.921794028984,0.4206203799614059,80.2098107558 250.210809614 169.57937962
1.0,40,0.07074693273755076,191.05495470911595,0.2653017850471713,80.1321404496 250.133161325 169.734698215
1.0,41,0.024440554281508438,191.1010413052648,0.09165290844035212,80.0455656377 250.04608726 169.908347092
1.0,42,0.018221484134168502,191.06688144676826,0.06832972031651252,79.9658294503 249.965840818 170.06832972
1.0,43,0.05073608333414528,190.97162656823625,0.19026176954821494,79.9049931081 249.904745122 170.19026177
1.0,44,0.06937640901865905,190.84141896893553,0.2601615049277086,79.8700460935 249.869792401 170.260161505
1.0,45,0.07334694868946201,190.70382859665244,0.27505102804926196,79.8625393434 249.862409628 170.275051028
1.0,46,0.06443124068453049,190.58301859505178,0.24161712228760734,79.8791928785 249.879189999 170.241617122
1.0,47,0.04626294464692807,190.4963065743359,0.17348601142089137,79.9132260085 249.91328798 170.173486011
1.0,48,0.023412352371459458,190.45243997682653,0.0877941315241344,79.9560718159 249.956134042 170.087794132
1.0,49,0.000467319180854828,190.45157923308116,0.0017518401847951282,79.9991082615 249.999139888 170.00175184
1.0,50,0.01873106114489076,190.48670008931228,0.07024209531161318,80.0351206014 250.035121483 169.929757905
1.0,51,0.03160785712132016,190.5459572144121,0.11853009872078246,80.0592723366 250.059257751 169.881469901
1.0,52,0.037070539527882654,190.61545681902064,0.13901518087243403,80.0695149368 250.069500233 169.860984819
1.0,53,0.035444352449189864,190.68191112746985,0.1329170031295348,80.0664620506 250.066454942 169.867082997
1.0,54,0.028181809814949728,190.73475199251487,0.10568248935177849,80.0528409744 250.052841504 169.894317511
1.0,55,0.01743273100768287,190.767440253019,0.0653734597616733,80.0326845436 250.032688905 169.93462654
1.0,56,0.005569719917733412,190.77788537267645,0.020887176996666312,80.0104413968 250.010445769 169.979112823
1.0,57,0.005244399944605978,190.76805306443086,0.019665771439662194,79.9901658731 249.990168345 170.019665771
1.0,58,0.013382092400013966,190.74296163003714,0.050182124128753,79.9749086453 249.97490922 170.050182124
1.0,59,0.017933149577088,190.70933649120002,0.06724859953553164,79.9663758748 249.966375515 170.0672486
1.0,60,0.018736837821846406,190.6742044453148,0.07026244371181178,79.9648689397 249.964868606 170.070262444
