rho,iter,conv,wmax,xerr,xbar
0.1,1,32.81481481481481,6.666666666666669,58.333333333333314,57.3333333333 308.333333333 134.333333333
0.1,2,32.81481481481481,13.333333333333337,58.333333333333314,57.3333333333 308.333333333 134.333333333
0.1,3,32.81481481481481,20.000000000000007,58.333333333333314,57.3333333333 308.333333333 134.333333333
0.1,4,32.81481481481481,26.666666666666675,58.333333333333314,57.3333333333 308.333333333 134.333333333
0.1,5,23.185185185185187,30.80000000000001,45.66666666666663,70 295.666666667 134.333333333
0.1,6,22.074074074074076,32.533333333333346,35.666666666666686,82 283.666666667 134.333333333
0.1,7,22.148148148148145,34.59999999999999,35.666666666666686,82.3333333333 283.333333333 134.333333333
0.1,8,22.148148148148145,38.933333333333344,35.666666666666686,82.3333333333 283.333333333 134.333333333
0.1,9,22.148148148148145,43.80000000000001,35.666666666666686,82.3333333333 283.333333333 134.333333333
0.1,10,19.25925925925926,47.80000000000001,40.0,86.6666666667 283.333333333 130
0.1,11,15.703703703703704,49.933333333333344,49.33333333333334,96 283.333333333 120.666666667
0.1,12,15.703703703703704,51.26666666666663,54.0,100.666666667 283.333333333 116
0.1,13,15.703703703703704,54.59999999999996,54.0,100.666666667 283.333333333 116
0.1,14,15.555555555555559,57.93333333333329,52.33333333333334,99 283.333333333 117.666666667
0.1,15,15.555555555555559,61.266666666666616,51.33333333333334,98 283.333333333 118.666666667
0.1,16,15.555555555555559,64.59999999999995,51.33333333333334,98 283.333333333 118.666666667
0.1,17,15.555555555555562,67.93333333333328,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,18,15.555555555555562,71.26666666666661,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,19,15.555555555555562,74.59999999999994,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,20,15.555555555555562,77.93333333333327,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,21,15.555555555555562,81.2666666666666,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,22,15.555555555555562,84.59999999999992,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,23,15.555555555555562,87.93333333333325,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,24,15.555555555555562,91.26666666666658,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,25,15.555555555555562,94.59999999999991,51.66666666666667,98.3333333333 283.333333333 118.333333333
0.1,26,12.962962962962967,97.43333333333324,46.66666666666667,98.3333333333 278.333333333 123.333333333
0.1,27,11.851851851851851,99.86666666666657,41.0,96.6666666667 274.333333333 129
0.1,28,12.222222222222216,102.13333333333324,37.666666666666686,95 272.666666667 132.333333333
0.1,29,12.296296296296296,104.36666666666657,37.0,94.6666666667 272.333333333 133
0.1,30,12.222222222222221,106.66666666666657,38.0,95 273 132
0.1,31,12.074074074074073,109.06666666666658,39.666666666666686,95.6666666667 274 130.333333333
0.1,32,11.925925925925924,111.49999999999991,40.666666666666686,96.3333333333 274.333333333 129.333333333
0.1,33,11.851851851851851,113.93333333333325,41.0,96.6666666667 274.333333333 129
0.1,34,11.925925925925924,116.36666666666659,40.666666666666686,96.3333333333 274.333333333 129.333333333
0.1,35,12.0,118.7666666666666,40.0,96 274 130
0.1,36,12.074074074074073,121.1666666666666,39.666666666666686,95.6666666667 274 130.333333333
0.1,37,11.999999999999993,123.53333333333326,39.666666666666686,96 273.666666667 130.333333333
0.1,38,12.0,125.93333333333327,40.0,96 274 130
0.1,39,12.0,128.33333333333326,40.0,96 274 130
0.1,40,12.0,130.73333333333326,40.0,96 274 130
0.1,41,12.0,133.13333333333327,40.0,96 274 130
0.1,42,12.0,135.53333333333327,40.0,96 274 130
0.1,43,12.0,137.93333333333328,40.0,96 274 130
0.1,44,12.0,140.3333333333333,40.0,96 274 130
0.1,45,12.0,142.7333333333333,40.0,96 274 130
0.1,46,12.0,145.1333333333333,40.0,96 274 130
0.1,47,12.0,147.5333333333333,40.0,96 274 130
0.1,48,12.0,149.9333333333333,40.0,96 274 130
0.1,49,12.0,152.33333333333331,40.0,96 274 130
